_id,JURIS_NAME,CNTY_NAME,YEAR,PRIOR_APN,APN,STREET_ADDRESS,PROJECT_NAME,JURS_TRACKING_ID,UNIT_CAT,TENURE,ACUTELY_LOW_INCOME_DR,ACUTELY_LOW_INCOME_NDR,EXTREMELY_LOW_INCOME_DR,EXTREMELY_LOW_INCOME_NDR,VLOW_INCOME_DR,VLOW_INCOME_NDR,LOW_INCOME_DR,LOW_INCOME_NDR,MOD_INCOME_DR,MOD_INCOME_NDR,ABOVE_MOD_INCOME,ENT_APPROVE_DT1,NO_ENTITLEMENTS,BP_ACUTELY_LOW_INCOME_DR,BP_ACUTELY_LOW_INCOME_NDR,BP_EXTREMELY_LOW_INCOME_DR,BP_EXTREMELY_LOW_INCOME_NDR,BP_VLOW_INCOME_DR,BP_VLOW_INCOME_NDR,BP_LOW_INCOME_DR,BP_LOW_INCOME_NDR,BP_MOD_INCOME_DR,BP_MOD_INCOME_NDR,BP_ABOVE_MOD_INCOME,BP_ISSUE_DT1,NO_BUILDING_PERMITS,CO_ACUTELY_LOW_INCOME_DR,CO_ACUTELY_LOW_INCOME_NDR,CO_EXTREMELY_LOW_INCOME_DR,CO_EXTREMELY_LOW_INCOME_NDR,CO_VLOW_INCOME_DR,CO_VLOW_INCOME_NDR,CO_LOW_INCOME_DR,CO_LOW_INCOME_NDR,CO_MOD_INCOME_DR,CO_MOD_INCOME_NDR,CO_ABOVE_MOD_INCOME,CO_ISSUE_DT1,NO_OTHER_FORMS_OF_READINESS,EXTR_LOW_INCOME_UNITS,APPROVE_SB35,HISTORIC_SITES,INFILL_UNITS,FIN_ASSIST_NAME,DR_TYPE,NO_FA_DR,TERM_AFF_DR,DEM_DES_UNITS,DEM_OR_DES_UNITS,DEM_DES_UNITS_OWN_RENT,DENSITY_BONUS_TOTAL,DENSITY_BONUS_NUMBER_OTHER_INCENTIVES,DENSITY_BONUS_INCENTIVES,DENSITY_BONUS_RECEIVE_REDUCTION,NOTES,LATITUDE,LONGITUDE,STD_ADDRESS,SCORE
68,STANISLAUS COUNTY,Stanislaus,2020,,024-032-023,3301,KINGSBURG CT,BLD2019-2875,SFD,Owner,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2020-11-10,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,N,0,0,,,0,,0,0,0,0,0,,,SINGLE FAMILY DWELLING 1650 SF W/ ATTACHED 2 CAR GARAGE 515 SF   C/S LESTER AVE,37.559009,-120.997660,,82.609999999999999
69,STANISLAUS COUNTY,Stanislaus,2020,,024-032-023,4119,VALKOMMEN DR,BLD2019-2881,SFD,Owner,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2020-09-10,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,N,0,0,,,0,,0,0,0,0,0,,,SINGLE FAMILY DWELLING 1650 SF W/ ATTACHED 3 CAR GARAGE 746 SF & CA ROOM  C/S LESTER AVE,37.559009,-120.997660,,82.609999999999999
70,LONG BEACH,Los Angeles,2021,,7259012032,1458 NEWPORT AVE,BRMD254719,BRMD254719,ADU,Renter,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2021-05-14,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,N,0,Y,,,0,,0,0,0,0,0,,,,33.785510,-118.151285,"1458 Newport Ave, Long Beach, California, 90804",100
71,LONG BEACH,Los Angeles,2021,,7259019018,1103 GLADYS AVE,BRMD255086,BRMD255086,ADU,Renter,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2021-02-22,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,N,0,Y,,,0,,0,0,0,0,0,,,,33.780920,-118.157865,"1103 Gladys Ave, Long Beach, California, 90804",100
72,LONG BEACH,Los Angeles,2021,,7255032006,266 ROSWELL AVE,BNEW255098,BNEW255098,ADU,Renter,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2021-07-09,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,N,0,Y,,,0,,0,0,0,0,0,,,,33.767350,-118.143702,"266 Roswell Ave, Long Beach, California, 90803",100
73,LONG BEACH,Los Angeles,2021,,7187023003,5741 OXHOLM ST,BRMD255109,BRMD255109,ADU,Renter,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2021-11-11,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,N,0,Y,,,0,,0,0,0,0,0,,,,33.820282,-118.119318,"5741 E Oxholm St, Long Beach, California, 90808",99.579999999999998
74,LONG BEACH,Los Angeles,2021,,7231005033,2131 PALO VERDE AVE,BADD255161,BADD255161,ADU,Renter,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2021-06-17,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,N,0,Y,,,0,,0,0,0,0,0,,,,33.794665,-118.108147,"2131 Palo Verde Ave, Long Beach, California, 90815",100
75,LONG BEACH,Los Angeles,2021,,7127013008,5551 LEWIS AVE,BADD255191,BADD255191,ADU,Renter,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2021-07-13,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,N,0,Y,,,0,,0,0,0,0,0,,,,33.857207,-118.180069,"5551 Lewis Ave, Long Beach, California, 90805",100
76,LONG BEACH,Los Angeles,2021,,7313015013,2811 BALTIC AVE,BADD255610,BADD255610,ADU,Renter,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2021-10-22,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,N,0,Y,,,0,,0,0,0,0,0,,,,33.808308,-118.212978,"2811 Baltic Ave, Long Beach, California, 90810",100
77,STANISLAUS COUNTY,Stanislaus,2020,,074-009-019,251 MEYERS AVE,,BLD2020-0196,ADU,Renter,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,2020-07-29,1,0,0,0,0,0,0,0,0,0,0,1,2020-10-02,1,0,N,0,0,,,0,,0,0,0,0,0,,,ACCESSORY DWELLING UNIT ( 1191 SF ) W/ ATTACHED PATIO ( 129 SF ) ATTACHED TO EXISTING DETACHED GARAGE C/S CHENAULT DR,37.721251,-120.991845,"251 Myers Ave, Modesto, California, 95356",84.560000000000002
